epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,epoch_time_sec
1,1.4295341104622814,1.0517948526191208,0.48360655737704916,0.7308707124010554,0.4272129875903599,0.6631776186362025,0.001,154.52610516548157
2,1.1228017030023734,0.9680523557839105,0.6611079706048615,0.7546174142480211,0.6095275854356521,0.6818671550006526,0.0009755527298894294,137.2393786907196
3,1.0495593140123927,0.9247441430205091,0.6927642736009044,0.7783641160949868,0.6534904615628492,0.7368444079354424,0.0009046039886902864,94.13870692253113
4,1.030104241174382,0.9215456036590335,0.7046353872244205,0.7796833773087071,0.6702654611985249,0.7221367856836847,0.0007940987335200905,89.3728859424591
5,1.001608889543653,0.904816612404695,0.7351611079706049,0.7889182058047494,0.7078446688864349,0.7186836616095001,0.0006548539886902864,100.3646547794342
6,0.9860413709961808,0.937207348743026,0.7430751837196156,0.7664907651715039,0.7135041976884882,0.7090058374869986,0.0005005000000000001,118.77081084251404
7,1.0001058306917758,0.9371144277753805,0.7218767665347654,0.7598944591029023,0.683574175199584,0.6861768100721538,0.0003461460113097139,111.94578504562378
8,0.9847118584970892,0.8998817831356482,0.7292255511588468,0.7889182058047494,0.6925033042862457,0.7565469885902627,0.00020690126647990976,87.5604305267334
9,0.9792787440420208,0.8982541756139267,0.7280949689089882,0.7955145118733509,0.698830958374815,0.758877056840234,9.639601130971382e-05,86.57531404495239
10,0.9634651832825859,0.8948780081202927,0.7439231204070096,0.7941952506596306,0.7167957964792189,0.756116322691625,2.5447270110570814e-05,85.76957416534424
