epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,epoch_time_sec
1,1.1043807289032965,0.7817000962184413,0.6817410966647823,0.8601583113456465,0.643243094676417,0.8197125024996579,0.001,644.3839128017426
2,0.8701765515023938,0.7041551082304096,0.8049745618993782,0.8720316622691293,0.7724054361678968,0.8267530829099755,0.0009755527298894294,312.466411113739
3,0.7567250762638095,0.765413013328663,0.85895986433013,0.8641160949868074,0.8369850283196443,0.7916510941239808,0.0009046039886902864,313.34586930274963
4,0.6898382669993887,0.617954885896718,0.890616167326173,0.9274406332453826,0.8778617514441667,0.9101800661256805,0.0007940987335200905,311.64248847961426
5,0.6071215706265127,0.6470230537857418,0.9276427360090447,0.9234828496042217,0.9112074381006076,0.9014982882843752,0.0006548539886902864,307.4195363521576
6,0.5670650218960388,0.5479962031570776,0.9462973431317129,0.9604221635883905,0.9416770322951012,0.9493676407316464,0.0005005000000000001,302.4619128704071
7,0.5342514408618599,0.516559694090116,0.9646693046919164,0.9696569920844327,0.9592985230144597,0.9615952306063434,0.0003461460113097139,315.49747228622437
8,0.5000534611040754,0.5084053167881626,0.9807801017524025,0.9643799472295514,0.9767296961482673,0.953977573291143,0.00020690126647990976,299.6048309803009
9,0.484936611927991,0.4955318131358768,0.9827586206896551,0.9736147757255936,0.9803347813731679,0.970271593727763,9.639601130971382e-05,309.66651129722595
10,0.4805487442178333,0.49303339653719697,0.9853024307518372,0.9736147757255936,0.9837742604781191,0.9654309032352715,2.5447270110570814e-05,306.38884830474854
