epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,epoch_time_sec
1,0.9142163086234008,0.6886881180992227,0.7755794234030525,0.8786279683377308,0.7490953696970726,0.8376546737501687,0.001,403.0210633277893
2,0.6730535034745208,0.5851232497547422,0.8962690785754663,0.9406332453825857,0.8853906094506788,0.9134124114636858,0.0009755527298894294,407.7148928642273
3,0.6036319478276492,0.5310274400308453,0.9335782928208027,0.9643799472295514,0.9278459599413856,0.9511981532771184,0.0009046039886902864,375.2211072444916
4,0.5447834776309064,0.5018314802552276,0.9533634821933296,0.9683377308707124,0.9470942625085218,0.9507786798944822,0.0007940987335200905,381.4866073131561
5,0.5062553175699246,0.47101769983611197,0.9711701526286037,0.9854881266490765,0.9691959674192466,0.9796670203352228,0.0006548539886902864,366.14481258392334
6,0.48256841306972126,0.4716281651821489,0.9802148106274732,0.9828496042216359,0.9780250983063025,0.9740969265372247,0.0005005000000000001,404.762540102005
7,0.4622544238566004,0.4628599212163356,0.9892594686263426,0.9828496042216359,0.9898542016369624,0.9720275719114652,0.0003461460113097139,404.89892649650574
8,0.45711667915735626,0.45249773613066663,0.9915206331260599,0.9920844327176781,0.9905844558807321,0.9875364125265168,0.00020690126647990976,377.7356035709381
9,0.4503015715264546,0.45081039877868895,0.9940644431882419,0.9907651715039578,0.9934009883155893,0.9862132494133758,9.639601130971382e-05,387.17575550079346
10,0.4483384775738045,0.45368562477559715,0.9963256076879593,0.9894459102902374,0.996762343606361,0.9849252694459775,2.5447270110570814e-05,404.36104011535645
