epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,epoch_time_sec
1,1.2840501618560523,1.1921529288656794,0.5946862634256642,0.6226912928759895,0.539327318754527,0.579039360901357,0.001,262.2675840854645
2,1.044261747190951,1.1769909688853966,0.6998304126625212,0.6187335092348285,0.6532626367586839,0.5935761643006048,0.0009755527298894294,256.00570797920227
3,0.8903856448294282,0.8702906813659266,0.7823629169022046,0.7981530343007915,0.7509061969065849,0.7740641594390244,0.0009046039886902864,257.865026473999
4,0.8305684857074658,0.8368243620703906,0.8210853589598643,0.8153034300791556,0.795984394609861,0.761122911461392,0.0007940987335200905,255.64981698989868
5,0.7292395441325927,0.6838332908449198,0.8685698134539288,0.8970976253298153,0.8494511821060123,0.8791141488557196,0.0006548539886902864,260.027690410614
6,0.6778865628083457,0.6905835017679863,0.886376483889203,0.8891820580474934,0.8687850685484294,0.8671661454241618,0.0005005000000000001,233.84405255317688
7,0.6172920160875811,0.6011293563490493,0.923968343697004,0.9261213720316622,0.9120478918270082,0.9141248219430395,0.0003461460113097139,240.63470005989075
8,0.568890823557796,0.5486375876655679,0.9465799886941775,0.9472295514511874,0.9378256862757484,0.9417390087107794,0.00020690126647990976,240.8144760131836
9,0.5408354100027348,0.5353119046203694,0.9587337478801583,0.9564643799472295,0.9509920214850979,0.9508408773643771,9.639601130971382e-05,16715.302304267883
10,0.523781729728371,0.5299827319650977,0.9731486715658564,0.9551451187335093,0.9674207401240351,0.9519071089317364,2.5447270110570814e-05,197.99224472045898
